Kontonummer;Namn;Kortnamn;Volym;Marknadsvärde;GAV (SEK);GAV;Valuta;Land;ISIN;Marknad;Typ
1234567;SKF B;SKF B;14;3506,67;247,76;247,76;SEK;SE;SE0000108227;XSTO;STOCK
1234567;Apple;AAPL;50;232500,00;4650,00;465,00;USD;US;US0378331005;XNAS;STOCK
1234567;Microsoft;MSFT;30;131250,00;4375,00;437,50;USD;US;US5949181045;XNAS;STOCK
1234567;Coca-Cola;KO;75;45187,50;602,50;60,25;USD;US;US1912161007;XNYS;STOCK
1234567;Johnson & Johnson;JNJ;25;37812,50;1512,50;151,25;USD;US;US4781601046;XNYS;STOCK
1234567;Procter & Gamble;PG;40;61250,00;1531,25;153,13;USD;US;US7427181091;XNYS;STOCK
1234567;Realty Income;O;100;53750,00;537,50;53,75;USD;US;US7561091049;XNYS;STOCK
1234567;AT&T;T;200;42500,00;212,50;21,25;USD;US;US00206R1023;XNYS;STOCK
1234567;Verizon;VZ;150;63750,00;425,00;42,50;USD;US;US92343V1044;XNYS;STOCK
1234567;Nestle;NESN.SW;25;28125,00;1125,00;112,50;CHF;CH;CH0038863350;XSWX;STOCK
1234567;Avanza Global;Avanza Global;72;16491,36;193,02;193,02;SEK;SE;SE0011527613;FUND;FUND
