Kontonummer;Namn;Kortnamn;Volym;Marknadsvärde;GAV (SEK);GAV;Valuta;Land;ISIN;Marknad;Typ
1234567;SKF B;SKF B;14;3506,67;247,76;247,76;SEK;SE;SE0000108227;XSTO;STOCK
1234567;Swedbank A;SWED A;16;5110,56;311,44;311,44;SEK;SE;SE0000242455;XSTO;STOCK
1234567;NVIDIA;NVDA;1;1702,14;185,26;185,26;USD;US;US67066G1040;XNAS;STOCK
1234567;Avanza Bank Holding;AZA;4;1499,96;338,04;338,04;SEK;SE;SE0012454072;XSTO;STOCK
1234567;Apple;AAPL;1;2388,20;267,63;267,63;USD;US;US0378331005;XNAS;STOCK
1234567;Coca-Cola;KO;3;2012,63;69,52;69,52;USD;US;US1912161007;XNYS;STOCK
1234567;Volvo B;VOLV B;3;1020,69;297,94;297,94;SEK;SE;SE0000115446;XSTO;STOCK
1234567;XACT Nordic High Dividend Low Volatility (UCITS ETF) (B1 SEK);XACTHDIV;13;2045,95;156,39;156,39;SEK;SE;SE0009778954;XSTO;EXCHANGE_TRADED_FUND
1234567;Handelsbanken A;SHB A;34;4593,42;96,58;96,58;SEK;SE;SE0007100599;XSTO;STOCK
1234567;Investor B;INVE B;3;1021,80;326,61;326,61;SEK;SE;SE0015811963;XSTO;STOCK
1234567;SEB C;SEB C;10;2085,75;193,63;193,63;SEK;SE;SE0000120784;XSTO;STOCK
1234567;Axfood;AXFO;5;1493,79;292,73;292,73;SEK;SE;SE0006993770;XSTO;STOCK
1234567;Microsoft;MSFT;1;4413,07;477,59;477,59;USD;US;US5949181045;XNAS;STOCK
9876543;Spiltan Aktiefond Investmentbolag;Spiltan Aktiefond Investmentbolag;12,1;10861,93;660,62;660,62;SEK;SE;SE0004297927;FUND;FUND
9876543;Avanza Global;Avanza Global;72,0;16491,36;193,02;193,02;SEK;SE;SE0011527613;FUND;FUND
9876543;Avanza Zero;Avanza Zero;22,0;11039,75;379,55;379,55;SEK;SE;SE0001718388;FUND;FUND
